Year,Area,PropertyClass,RTC_RTQ,TaxRate_Municipal,TaxRate_Education,TaxRate_Total
2009,Urban,Residential ,RT/RH,0.01825431,0.00252000,0.02077431
2009,Urban,Multi-Residential,MT,0.02326919,0.00252000,0.02578919
2009,Urban,Commercial - Occupied,CT/CH,0.03203743,0.01973010,0.05176753
2009,Urban,Commercial-New Construction,XT,0.03203743,0.01520000,0.04723743
2009,Urban,Commercial - Excess Land,CU,0.02242620,0.01381107,0.03623727
2009,Urban,Commercial - Vacant Land,CX/CJ,0.02369199,0.01520000,0.03889199
2009,Urban,General Rate Only (International Bridge),CM,0.03203743,0.00000000,0.03203743
2009,Urban,Shopping Centres,ST,0.03400985,0.01979828,0.05380813
2009,Urban,Shopping - Excess Land,SU,0.02380690,0.01385880,0.03766570
2009,Urban,Office Buildings,DT,0.04679228,0.02000000,0.06679228
2009,Urban,Office Bldg - Excess Land,DU,0.03275458,0.01400000,0.04675458
2009,Urban,Parking Lots,GT,0.02369199,0.01520000,0.03889199
2009,Urban,Industrial - Occupied,IT/IH,0.03929896,0.02050528,0.05980424
2009,Urban,Industrial - Excess Land,IU,0.02554432,0.01332843,0.03887275
2009,Urban,Industrial - Vacant Land,IX/IJ,0.02554432,0.01332843,0.03887275
2009,Urban,Large Industrial - Occupied,LT,0.05599788,0.02250000,0.07849788
2009,Urban,Lg Industrial - Excess Land,LU,0.03639861,0.01462500,0.05102361
2009,Urban,Pipeline,PT,0.02863078,0.01673634,0.04536712
2009,Urban,Farm,FT,0.00456359,0.00063000,0.00519359
2009,Urban,Managed Forests,TT,0.00456359,0.00063000,0.00519359
2009,Rural,Residential ,RT/RH,0.01738208,0.00252000,0.01990208
2009,Rural,Multi-Residential,MT,0.02215734,0.00252000,0.02467734
2009,Rural,Commercial - Occupied,CT/CH,0.03050661,0.01973010,0.05023671
2009,Rural,Commercial- New Construction,XT,0.03050661,0.01520000,0.04570661
2009,Rural,Commercial - Excess Land,CU,0.02135463,0.01381107,0.03516570
2009,Rural,Commercial - Vacant Land,CX/CJ,0.02255994,0.01520000,0.03775994
2009,Rural,General Rate Only (International Bridge),CM,0.03050661,0.00000000,0.03050661
2009,Rural,Shopping Centres,ST,0.03238479,0.01979828,0.05218307
2009,Rural,Shopping - Excess Land,SU,0.02266936,0.01385880,0.03652816
2009,Rural,Office Buildings,DT,0.04455644,0.02000000,0.06455644
2009,Rural,Office Bldg - Excess Land,DU,0.03118950,0.01400000,0.04518950
2009,Rural,Parking Lots,GT,0.02255994,0.01520000,0.03775994
2009,Rural,Industrial - Occupied,IT/IH,0.03739177,0.02050528,0.05789705
2009,Rural,Industrial - Excess Land,IU,0.02430465,0.01332843,0.03763308
2009,Rural,Industrial - Vacant Land,IX/IJ,0.02430465,0.01332843,0.03763308
2009,Rural,Large Industrial - Occupied,LT,0.05328029,0.02250000,0.07578029
2009,Rural,Lg Industrial - Excess Land,LU,0.03463218,0.01462500,0.04925718
2009,Rural,Pipeline,PT,0.02726274,0.01673634,0.04399908
2009,Rural,Farm,FT,0.00434553,0.00063000,0.00497553
2009,Rural,Managed Forests,TT,0.00434553,0.00063000,0.00497553
